"path","disposition","target_phase","rationale"
"docs/agent-specs/verification-prompt-template.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/architecture-reset-file-inventory.csv","RETAIN","Phase 0-1","Architecture-reset decision, audit evidence, governed inventory, or implementation status."
"docs/architecture-reset-module-inventory.md","RETAIN","Phase 0-1","Architecture-reset decision, audit evidence, governed inventory, or implementation status."
"docs/component-specs/app-shell-specs.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/component-specs/breadcrumbs-specs.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/component-specs/confirm-dialog-specs.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/component-specs/empty-state-specs.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/component-specs/import-export-controls-specs.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/component-specs/loading-error-state-specs.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/component-specs/page-header-specs.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/component-specs/record-detail-layout-specs.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/component-specs/record-form-specs.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/component-specs/register-table-specs.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/component-specs/relationship-panel-specs.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/component-specs/search-filter-specs.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/component-specs/sidepanel-specs.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/component-specs/status-chip-specs.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/component-specs/toast-notification-specs.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/corporate-compliance-readiness-assessment.md","RETAIN","Phase 0+","Current project direction, scope, workflow, or roadmap documentation."
"docs/data-specs/backup-export.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/data-specs/entity-field-specs.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/data-specs/migrations.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/data-specs/persistence-stack.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/data-specs/query-patterns.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/data-specs/record-identity.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/data-specs/repository-contracts.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/data-specs/schema-overview.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/data-specs/seed-data.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/data-specs/validation-rules.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/feature-inventory.md","RETAIN","Phase 0-1","Architecture-reset decision, audit evidence, governed inventory, or implementation status."
"docs/legacy-schema-mapping.md","RETAIN","Phase 0-1","Architecture-reset decision, audit evidence, governed inventory, or implementation status."
"docs/page-specs/actions-corrective-actions.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/page-specs/controls.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/page-specs/dashboard.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/page-specs/error.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/page-specs/exposure-assessments.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/page-specs/exposure-monitoring.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/page-specs/exposure-scenarios.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/page-specs/field-findings.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/page-specs/hse-chemicals.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/page-specs/hse-hazards.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/page-specs/hse-segs.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/page-specs/not-found.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/page-specs/operations-locations.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/page-specs/operations-processes.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/page-specs/record-not-found.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/page-specs/reports-exports.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/page-specs/system-settings.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/page-specs/unit-baseline.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/phase-1-persistence-foundation-status.md","RETAIN","Phase 0-1","Architecture-reset decision, audit evidence, governed inventory, or implementation status."
"docs/repository-audit-2026-07-18.md","RETAIN","Phase 0-1","Architecture-reset decision, audit evidence, governed inventory, or implementation status."
"docs/test-specs/accessibility-checklist.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/test-specs/form-validation-tests.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/test-specs/manual-acceptance-checklist.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/test-specs/persistence-tests.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/test-specs/register-tests.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/test-specs/route-tests.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/test-specs/testing-strategy.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/workflow-specs/archive-delete.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/workflow-specs/backup-restore.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/workflow-specs/corrective-action-closure.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/workflow-specs/create-edit-save.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/workflow-specs/exchange-review.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/workflow-specs/export-generation.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/workflow-specs/import-data.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/workflow-specs/record-lifecycle.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/workflow-specs/relationship-linking.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/workflow-specs/search-filter.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"package-lock.json","REFACTOR","Phase 1","Update from Tauri assumptions to web-first PWA runtime and IndexedDB bootstrap."
"package.json","REFACTOR","Phase 1","Update from Tauri assumptions to web-first PWA runtime and IndexedDB bootstrap."
"scripts/verify-pwa.mjs","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src-tauri/Cargo.lock","REMOVE_AFTER_MIGRATION","Phase 1 exit","Desktop-only runtime or packaging removed after browser migration verification."
"src-tauri/Cargo.toml","REMOVE_AFTER_MIGRATION","Phase 1 exit","Desktop-only runtime or packaging removed after browser migration verification."
"src-tauri/build.rs","REMOVE_AFTER_MIGRATION","Phase 1 exit","Desktop-only runtime or packaging removed after browser migration verification."
"src-tauri/capabilities/default.json","REMOVE_AFTER_MIGRATION","Phase 1 exit","Desktop-only runtime or packaging removed after browser migration verification."
"src-tauri/icons/128x128.png","REMOVE_AFTER_MIGRATION","Phase 1 exit","Desktop-only runtime or packaging removed after browser migration verification."
"src-tauri/icons/128x128@2x.png","REMOVE_AFTER_MIGRATION","Phase 1 exit","Desktop-only runtime or packaging removed after browser migration verification."
"src-tauri/icons/32x32.png","REMOVE_AFTER_MIGRATION","Phase 1 exit","Desktop-only runtime or packaging removed after browser migration verification."
"src-tauri/icons/Square107x107Logo.png","REMOVE_AFTER_MIGRATION","Phase 1 exit","Desktop-only runtime or packaging removed after browser migration verification."
"src-tauri/icons/Square142x142Logo.png","REMOVE_AFTER_MIGRATION","Phase 1 exit","Desktop-only runtime or packaging removed after browser migration verification."
"src-tauri/icons/Square150x150Logo.png","REMOVE_AFTER_MIGRATION","Phase 1 exit","Desktop-only runtime or packaging removed after browser migration verification."
"src-tauri/icons/Square284x284Logo.png","REMOVE_AFTER_MIGRATION","Phase 1 exit","Desktop-only runtime or packaging removed after browser migration verification."
"src-tauri/icons/Square30x30Logo.png","REMOVE_AFTER_MIGRATION","Phase 1 exit","Desktop-only runtime or packaging removed after browser migration verification."
"src-tauri/icons/Square310x310Logo.png","REMOVE_AFTER_MIGRATION","Phase 1 exit","Desktop-only runtime or packaging removed after browser migration verification."
"src-tauri/icons/Square44x44Logo.png","REMOVE_AFTER_MIGRATION","Phase 1 exit","Desktop-only runtime or packaging removed after browser migration verification."
"src-tauri/icons/Square71x71Logo.png","REMOVE_AFTER_MIGRATION","Phase 1 exit","Desktop-only runtime or packaging removed after browser migration verification."
"src-tauri/icons/Square89x89Logo.png","REMOVE_AFTER_MIGRATION","Phase 1 exit","Desktop-only runtime or packaging removed after browser migration verification."
"src-tauri/icons/StoreLogo.png","REMOVE_AFTER_MIGRATION","Phase 1 exit","Desktop-only runtime or packaging removed after browser migration verification."
"src-tauri/icons/icon.icns","REMOVE_AFTER_MIGRATION","Phase 1 exit","Desktop-only runtime or packaging removed after browser migration verification."
"src-tauri/icons/icon.ico","REMOVE_AFTER_MIGRATION","Phase 1 exit","Desktop-only runtime or packaging removed after browser migration verification."
"src-tauri/icons/icon.png","REMOVE_AFTER_MIGRATION","Phase 1 exit","Desktop-only runtime or packaging removed after browser migration verification."
"src-tauri/migrations/001_initial.sql","REMOVE_AFTER_MIGRATION","Phase 1 exit","Native source of truth retained as migration evidence until representative fixtures and recovery tests pass."
"src-tauri/migrations/002_corrective_actions_workflow.sql","REMOVE_AFTER_MIGRATION","Phase 1 exit","Native source of truth retained as migration evidence until representative fixtures and recovery tests pass."
"src-tauri/migrations/003_corrective_actions_evidence_reference.sql","REMOVE_AFTER_MIGRATION","Phase 1 exit","Native source of truth retained as migration evidence until representative fixtures and recovery tests pass."
"src-tauri/migrations/004_equipment_register.sql","REMOVE_AFTER_MIGRATION","Phase 1 exit","Native source of truth retained as migration evidence until representative fixtures and recovery tests pass."
"src-tauri/migrations/005_chemical_sds_exposure_fields.sql","REMOVE_AFTER_MIGRATION","Phase 1 exit","Native source of truth retained as migration evidence until representative fixtures and recovery tests pass."
"src-tauri/migrations/006_controls_risk_assessments.sql","REMOVE_AFTER_MIGRATION","Phase 1 exit","Native source of truth retained as migration evidence until representative fixtures and recovery tests pass."
"src-tauri/migrations/007_p1_product_gaps.sql","REMOVE_AFTER_MIGRATION","Phase 1 exit","Native source of truth retained as migration evidence until representative fixtures and recovery tests pass."
"src-tauri/migrations/008_location_hierarchy.sql","REMOVE_AFTER_MIGRATION","Phase 1 exit","Native source of truth retained as migration evidence until representative fixtures and recovery tests pass."
"src-tauri/migrations/009_campaign_registers.sql","REMOVE_AFTER_MIGRATION","Phase 1 exit","Native source of truth retained as migration evidence until representative fixtures and recovery tests pass."
"src-tauri/migrations/010_location_geography.sql","REMOVE_AFTER_MIGRATION","Phase 1 exit","Native source of truth retained as migration evidence until representative fixtures and recovery tests pass."
"src-tauri/src/lib.rs","REMOVE_AFTER_MIGRATION","Phase 1 exit","Desktop-only runtime or packaging removed after browser migration verification."
"src-tauri/src/main.rs","REMOVE_AFTER_MIGRATION","Phase 1 exit","Desktop-only runtime or packaging removed after browser migration verification."
"src-tauri/src/persistence.rs","REMOVE_AFTER_MIGRATION","Phase 1 exit","Native source of truth retained as migration evidence until representative fixtures and recovery tests pass."
"src-tauri/tauri.conf.json","REMOVE_AFTER_MIGRATION","Phase 1 exit","Desktop-only runtime or packaging removed after browser migration verification."
"src/app.css","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/app.html","REFACTOR","Phase 1","Update from Tauri assumptions to web-first PWA runtime and IndexedDB bootstrap."
"src/application/oluso-application.ts","REFACTOR","Phases 1-4","Preserve application boundary pattern while moving significant entities to typed repositories and invariants."
"src/components/layout/AppShell.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/components/layout/AppShell.test.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/components/layout/SidePanel/SidePanel.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/components/layout/SidePanel/SidePanel.test.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/components/layout/SidePanel/SidePanelItem.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/components/layout/SidePanel/SidePanelSection.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/components/layout/SidePanel/icons.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/domain/contracts/index.ts","REFACTOR","Phases 1-4","Preserve application boundary pattern while moving significant entities to typed repositories and invariants."
"src/domain/contracts/repository-contracts.ts","REFACTOR","Phases 1-4","Preserve application boundary pattern while moving significant entities to typed repositories and invariants."
"src/domain/errors/domain-errors.ts","REFACTOR","Phases 1-4","Preserve application boundary pattern while moving significant entities to typed repositories and invariants."
"src/domain/errors/index.ts","REFACTOR","Phases 1-4","Preserve application boundary pattern while moving significant entities to typed repositories and invariants."
"src/domain/services/base-register-service.ts","REFACTOR","Phases 1-4","Preserve application boundary pattern while moving significant entities to typed repositories and invariants."
"src/domain/services/chemical-service.ts","REFACTOR","Phases 1-4","Preserve application boundary pattern while moving significant entities to typed repositories and invariants."
"src/domain/services/compliance-item-service.ts","REFACTOR","Phases 1-4","Preserve application boundary pattern while moving significant entities to typed repositories and invariants."
"src/domain/services/control-service.ts","REFACTOR","Phases 1-4","Preserve application boundary pattern while moving significant entities to typed repositories and invariants."
"src/domain/services/corrective-action-service.ts","REFACTOR","Phases 1-4","Preserve application boundary pattern while moving significant entities to typed repositories and invariants."
"src/domain/services/equipment-service.ts","REFACTOR","Phases 1-4","Preserve application boundary pattern while moving significant entities to typed repositories and invariants."
"src/domain/services/exposure-monitoring-service.ts","REFACTOR","Phases 1-4","Preserve application boundary pattern while moving significant entities to typed repositories and invariants."
"src/domain/services/finding-service.ts","REFACTOR","Phases 1-4","Preserve application boundary pattern while moving significant entities to typed repositories and invariants."
"src/domain/services/hazard-service.ts","REFACTOR","Phases 1-4","Preserve application boundary pattern while moving significant entities to typed repositories and invariants."
"src/domain/services/incident-service.ts","REFACTOR","Phases 1-4","Preserve application boundary pattern while moving significant entities to typed repositories and invariants."
"src/domain/services/index.ts","REFACTOR","Phases 1-4","Preserve application boundary pattern while moving significant entities to typed repositories and invariants."
"src/domain/services/location-service.ts","REFACTOR","Phases 1-4","Preserve application boundary pattern while moving significant entities to typed repositories and invariants."
"src/domain/services/process-service.ts","REFACTOR","Phases 1-4","Preserve application boundary pattern while moving significant entities to typed repositories and invariants."
"src/domain/services/risk-assessment-service.ts","REFACTOR","Phases 1-4","Preserve application boundary pattern while moving significant entities to typed repositories and invariants."
"src/domain/services/seg-service.ts","REFACTOR","Phases 1-4","Preserve application boundary pattern while moving significant entities to typed repositories and invariants."
"src/lib/components/dashboard/DashboardGrid.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/dashboard/GlassCard.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/dashboard/dashboard.types.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/register/ArchiveConfirmationDialog.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/register/BackToRegisterLink.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/register/RecordDetailLayout.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/register/RecordForm.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/register/RecordForm.test.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/register/RecordMetadataPanel.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/register/RecordNotFoundState.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/register/RegisterPageHeader.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/register/RegisterState.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/register/RegisterTable.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/register/RegisterTable.test.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/register/RelationshipPanel.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/register/RestoreAction.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/register/record-traceability.test.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/register/record-traceability.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/register/register-config.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/register/register-table.types.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/register/register-table.utils.test.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
